room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
8883616,1344,46483988,Shared room,,Edinburgh,,Calton,0,0.0,2,1.0,,78.0,,Edinburgh city centre,2017-06-16 14:37:42.596430,55.95411,-3.187373,0101000020E61000002E3A596ABD7F09C0AE64C74620FA4B40
19212772,1344,77572662,Shared room,,Edinburgh,,Drylaw,0,0.0,6,1.0,,263.0,,The Best Friend,2017-06-16 14:37:37.744530,55.967494,-3.242149,0101000020E6100000A5129ED0EBEF09C0C289E8D7D6FB4B40
18383912,1344,127329041,Shared room,,Edinburgh,,Murray Burn,0,0.0,1,1.0,,155.0,,Looking for a flatmate,2017-06-16 14:37:35.547642,55.92036,-3.280327,0101000020E6100000817C09151C3E0AC0F645425BCEF54B40
6347301,1344,31584727,Shared room,,Edinburgh,,Holyrood,51,4.0,10,1.0,,158.0,,Bobbys bunkhouse 10bed room,2017-06-16 14:37:35.545251,55.949363,-3.192194,0101000020E61000003FE603029D8909C027840EBA84F94B40
5013703,1344,24130727,Shared room,,Edinburgh,,New Town,2,0.0,1,1.0,,131.0,,'The Baxter' 12 Bed Dorm,2017-06-16 14:37:34.458605,55.953884,-3.191165,0101000020E6100000641EF983818709C0BE16F4DE18FA4B40
5002784,1344,24130727,Shared room,,Edinburgh,,Holyrood,9,4.5,1,1.0,,131.0,,'The Baxter' 9 Bed Dorm,2017-06-16 14:37:34.453737,55.953184,-3.189495,0101000020E61000004E0B5EF4158409C00589EDEE01FA4B40
18463220,1344,5859191,Shared room,,Edinburgh,,New Town,0,0.0,3,1.0,,105.0,,Perfect for Edinburgh Festival Fun!,2017-06-16 14:37:33.119097,55.956295,-3.194144,0101000020E61000008DB7955E9B8D09C0062AE3DF67FA4B40
8614766,1344,33096930,Shared room,,Edinburgh,,Southside,2,0.0,10,1.0,,92.0,,"Historical Central Flat, Edinburgh",2017-06-16 14:37:32.219127,55.943237,-3.180376,0101000020E6100000CADDE7F8687109C047B071FDBBF84B40
16402907,1344,105566264,Shared room,,Edinburgh,,Holyrood,2,0.0,2,1.0,,66.0,,Bright in Edinburgh Sofa Bed for 2,2017-06-16 14:37:30.927388,55.949828,-3.18753,0101000020E6100000AB2688BA0F8009C09C69C2F693F94B40
11008378,1344,36155037,Shared room,,Edinburgh,,Holyrood,0,0.0,4,1.0,,66.0,,High Street Hostel,2017-06-16 14:37:30.924854,55.950378,-3.185624,0101000020E610000056D28A6F287C09C0406B7EFCA5F94B40
16141909,1344,105324978,Shared room,,Edinburgh,,Dalry,0,0.0,2,1.0,,78.0,,Bright room in quiet location near city center,2017-06-16 14:37:30.920108,55.942645,-3.219386,0101000020E6100000209A79724DC109C0745E6397A8F84B40
17948355,1344,37327309,Shared room,,Edinburgh,,Drylaw,3,4.5,4,1.0,,72.0,,Ensuite double + Sofa Bed + Parking,2017-06-16 14:37:30.917846,55.966664,-3.228656,0101000020E6100000FE45D09849D409C03B1C5DA5BBFB4B40
10160178,1344,2408509,Shared room,,Edinburgh,,Pilton,6,4.5,2,1.0,,66.0,,double futon in livingroom,2017-06-16 14:37:30.914813,55.974568,-3.248643,0101000020E6100000DD088B8A38FD09C033DDEBA4BEFC4B40
10869238,1344,33888237,Shared room,,Edinburgh,,Holyrood,2,0.0,1,1.0,,46.0,,Cowgate - Bed in a 4 bed mixed dorm,2017-06-16 14:37:28.668998,55.949226,-3.18937,0101000020E610000087BF266BD48309C0A741D13C80F94B40
